0;12
1;92
2;48
3;9
4;99
5;60
6;27
7;9
8;31
9;35
10;60
11;37
12;52
13;75
14;74
15;70
16;64
17;24
18;19
19;41
20;35
21;75
22;80
23;80
24;23
25;69
26;63
27;38
28;86
29;63
30;42
31;87
32;20
33;0
34;24
35;92
36;24
37;81
38;11
39;22
40;98
41;5
42;76
43;54
44;61
45;7
46;79
47;23
48;21
49;15
50;27
51;78
52;19
53;95
54;54
55;48
56;35
57;1
58;64
59;14
60;5
61;43
62;96
63;39
64;81
65;29
66;73
67;87
68;98
69;93
70;62
71;33
72;57
73;94
74;34
75;37
76;12
77;10
78;32
79;29
80;99
81;3
82;56
83;17
84;21
85;90
86;50
87;56
88;38
89;59
90;34
91;46
92;23
93;13
94;95
95;24
96;14
97;99
98;88
99;95
100;93
101;67
102;98
103;77
104;97
105;18
106;38
107;86
108;96
109;44
110;58
111;35
112;84
113;54
114;78
115;29
116;14
117;41
118;2
119;53
120;5
121;84
122;44
123;9
124;64
125;80
126;81
127;6
128;34
129;57
130;54
131;48
132;86
133;66
134;29
135;52
136;55
137;78
138;63
139;5
140;89
141;74
142;73
143;35
144;61
145;13
146;58
147;8
148;30
149;52
150;46
151;49
152;63
153;98
154;40
155;15
156;37
157;41
158;95
159;12
160;38
161;63
162;32
163;52
164;67
165;80
166;15
167;90
168;76
169;57
170;11
171;75
172;17
173;69
174;26
175;38
176;87
177;96
178;26
179;89
180;53
181;95
182;80
183;2
184;28
185;43
186;79
187;58
188;35
189;9
190;79
191;4
192;55
193;28
194;82
195;17
196;22
197;82
198;41
199;79
200;3
201;18
202;97
203;11
204;25
205;80
206;21
207;69
208;42
209;82
210;75
211;27
212;57
213;86
214;12
215;82
216;25
217;74
218;68
219;17
220;96
221;14
222;31
223;75
224;87
225;39
226;5
227;59
228;88
229;36
230;90
231;18
232;39
233;3
234;2
235;31
236;32
237;23
238;28
239;35
240;60
241;32
242;43
243;74
244;9
245;61
246;73
247;83
248;27
249;82
250;53
251;58
252;91
253;88
254;88
255;30
256;42
257;10
258;30
259;45
260;91
261;90
262;83
263;71
264;55
265;76
266;92
267;64
268;28
269;5
270;73
271;65
272;47
273;14
274;3
275;59
276;70
277;51
